Data_Coleta,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,PrimeiroGenero
2024-01-18 14:15:50,65,2023,PG-13,10 Mar 2023,93 min,"Action, Adventure, Drama","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman",An astronaut crash lands on a mysterious planet only to discover he's not alone.,English,"United States, Canada",,https://m.media-amazon.com/images/M/MV5BNDgwNzc4MGYtOWMwMi00YjExLWIzMGEtMGQxMzA2NmExNzAxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,5.4,"82,287",tt12261776,movie,07 Apr 2023,"$32,062,904",,,True,,Action
2024-01-18 14:15:55,O RIO DO DESEJO,2022,,23 Mar 2023,107 min,Drama,Sergio Machado,"Maria Camargo, Milton Hatoum, Sergio Machado","Coco Chiarella, Jorge Paz, Rômulo Braga",It follows three brothers as they end up living under the same roof with the middle brother's beautiful new wife.,Portuguese,Brazil,1 win,https://m.media-amazon.com/images/M/MV5BOWE4M2IzZjgtNGJhNy00ZGQyLTk2NzctNzZhZTQ4ZGVhY2NhXkEyXkFqcGdeQXVyMTUwNjg3NTUw._V1_SX300.jpg,[],,,114,tt19855324,movie,,,,,True,,Drama
2024-01-18 14:15:56,WOMEN TALKING,2022,PG-13,20 Jan 2023,104 min,Drama,Sarah Polley,"Sarah Polley, Miriam Toews","Rooney Mara, Claire Foy, Jessie Buckley","Do nothing, stay and fight, or leave. In 2010, the women of an isolated religious community grapple with reconciling a brutal reality with their faith.",English,United States,Won 1 Oscar. 65 wins & 161 nominations total,https://m.media-amazon.com/images/M/MV5BYTZmMmQ4OWYtM2JmNC00NzY0LWJhODUtOTRmMWMyOTU4OWQ4XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79.0,6.9,"38,918",tt13669038,movie,,"$5,456,531",,,True,,Drama
2024-01-18 14:15:57,PROJECT 'GEMINI',2022,Unrated,06 Jan 2022,98 min,"Adventure, Sci-Fi, Thriller",Serik Beyseu,"Natalya Lebedeva, Dmitriy Zhigalov","Egor Koreshkov, Alyona Konstantinova, Samoukov Kostya","A sci-fi thriller about a space mission sent to terraform a distant planet. However, the mission encounters something unknown that has its own plan for the planet.",Russian,Russia,,https://m.media-amazon.com/images/M/MV5BZWFlMTMyZjctNTcyYi00ODM2LWE1NDYtZWMyODI0MTNkMDc0XkEyXkFqcGdeQXVyNjMzNjY2NjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",,3.5,"3,705",tt5656994,movie,,,,,True,,Adventure
2024-01-18 14:16:02,EL EMPATE,2003,,,11 min,Short,Marcos Ignacio Kramer,"Marcos Ignacio Kramer, Ignacio Ortiz","Jorge Samonta, Rodrigo Spina",,Spanish,Argentina,,,[],,,,tt0434917,movie,,,,,True,,Short
2024-01-18 14:16:05,NAS ONDAS DA FÉ,2023,,12 Jan 2023,110 min,Comedy,Felipe Joffily,"Marcelo Adnet, Lusa Silvestre","Marcelo Adnet, Rodrigo de Arruda, Gregório Duvivier","Hickson is a handyman full of faith and full of bills to pay, going through life doing many odd-jobs. The turn of events in his life comes when he lands a job working for an evangelical radio where he develops plenty of talents an...",Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BMjk3ODkyYzQtODExYy00MTcwLTk4YjMtOGFkN2U3OGE4NWU1XkEyXkFqcGdeQXVyMTE1NDc3Mzkw._V1_SX300.jpg,[],,,77,tt21994054,movie,,,,,True,,Comedy
2024-01-18 14:16:06,AFTERSUN,2022,R,18 Nov 2022,102 min,Drama,Charlotte Wells,Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall",Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she d...,"English, Turkish, Spanish","United Kingdom, United States",Nominated for 1 Oscar. 86 wins & 168 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3OTU0ZGUtNzYwYy00ODU3LWI3YjgtOWZlODliMmRiMWEzXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95.0,7.6,"82,610",tt19770238,movie,20 Dec 2022,"$1,658,790",,,True,,Drama
2024-01-18 14:16:10,LA BRIGADE,1975,,07 May 1975,108 min,"Drama, War",René Gilson,René Gilson,"Brigitte Fossey, Edward Wojtaszek, Jean Bouise","During WWII, in a North of France town occupied by German forces, a group of volunteer resistance fighters, snipers and partisans from Poland fight with efficiency. A dangerous mission is given away to Marie and Aldo: they have to...",French,France,,https://m.media-amazon.com/images/M/MV5BNWMyM2RjN2YtOGI0NS00ZTMwLWIzZDYtODU1YTcyNmVhYWI3XkEyXkFqcGdeQXVyNjM3MDIwNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,15,tt0207356,movie,,,,,True,,Drama
2024-01-18 14:16:13,EMILY,2022,R,14 Oct 2022,130 min,"Biography, Drama, History",Frances O'Connor,Frances O'Connor,"Emma Mackey, Oliver Jackson-Cohen, Fionn Whitehead","""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30.","English, French","United Kingdom, United States",5 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMWViZTkzY2YtZDE5OC00M2NkLWJiY2QtMTdhNmJlYTE4OTVlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.8,"7,511",tt12374656,movie,,"$1,097,067",,,True,,Biography
2024-01-18 14:16:14,BED REST,2022,R,07 Dec 2022,90 min,"Drama, Horror, Mystery",Lori Evans Taylor,Lori Evans Taylor,"Melissa Barrera, Guy Burnet, Edie Inksetter",A pregnant woman on bed rest begins to wonder if her house is haunted or it's all in her head.,English,"United States, Canada",2 nominations,https://m.media-amazon.com/images/M/MV5BNTgyNmVjMjAtZTg4MC00NmE1LWIzNDgtNjM5Y2Y4ZTFkNDk3XkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,"3,306",tt4896168,movie,,,,,True,,Drama
2024-01-18 14:16:15,PEARL,2022,R,16 Sep 2022,103 min,"Drama, Horror, Thriller",Ti West,"Ti West, Mia Goth","Mia Goth, David Corenswet, Tandi Wright","In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm.","English, German","United States, Canada, New Zealand",17 wins & 61 nominations,https://m.media-amazon.com/images/M/MV5BZTFkNmE5MjUtZDE1Yi00ZmQyLTk2YWUtN2EwODA1ZmNlOTA5XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.0,"83,867",tt18925334,movie,25 Oct 2022,"$9,423,445",,,True,,Drama
2024-01-18 14:16:16,JAIR RODRIGUES - DEIXA QUE DIGAM,2020,,01 Oct 2020,98 min,Documentary,Rubens Rewald,,,"Jair Rodrigues, the portrait of an artist from a Brazil so close and yet so distant.",Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BNzkzZDg0YTYtY2YyYy00NThmLWFkZjItYTFhYjNhMDQwYjYwXkEyXkFqcGdeQXVyMTc1ODQ4ODI@._V1_SX300.jpg,[],,,16,tt13935904,movie,,,,,True,,Documentary
2024-01-18 14:16:17,THE AMAZING MAURICE,2022,PG,16 Dec 2022,93 min,"Animation, Adventure, Comedy","Toby Genkel, Florian Westermann","Terry Rossio, Terry Pratchett, Robert Chandler","Hugh Laurie, Emilia Clarke, David Thewlis",A streetwise cat and his gang of rats come up with the perfect money making scheme.,English,"United Kingdom, Germany",1 nomination,https://m.media-amazon.com/images/M/MV5BYWQ4NjQ1NjAtNTc3Yy00ZDVlLThlNmUtMzZjY2E3N2Y4Y2JmXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,6.2,"5,127",tt10473036,movie,04 Apr 2023,"$4,303,645",,,True,,Animation
2024-01-18 14:16:19,THE BOOGEYMAN,2023,PG-13,02 Jun 2023,98 min,"Horror, Mystery, Thriller",Rob Savage,"Scott Beck, Bryan Woods, Mark Heyman","Sophie Thatcher, Chris Messina, Vivien Lyra Blair","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.",English,"United States, Canada",3 nominations,https://m.media-amazon.com/images/M/MV5BNzNkYmE1NDYtMmI4Mi00YjU2LTkxZDEtMWI0ZDE4MTczZDRjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,5.9,"40,908",tt3427252,movie,,"$43,244,282",,,True,,Horror
2024-01-18 14:16:20,TCHAIKOVSKY'S WIFE,2022,,15 Feb 2023,143 min,"Biography, Drama",Kirill Serebrennikov,Kirill Serebrennikov,"Alyona Mikhailova, Odin Lund Biron, Filipp Avdeev","Tumultuous relationship between Pyotr Tchaikovsky, the most famous Russian composer of all time, and his wife Antonina Miliukova.","Russian, French, Italian","Russia, France, Switzerland",1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BNGY3YjQzNDYtYzU4My00Njc1LTk0OTctZmMwZGJiZTc3ZmY2XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.5,"1,445",tt17538510,movie,,,,,True,,Biography
2024-01-18 14:16:21,LEFT BEHIND: RISE OF THE ANTICHRIST,2023,Not Rated,27 Apr 2023,115 min,"Action, Drama, Mystery",Kevin Sorbo,"Paul Lalonde, Jessica Parker, John Patus","Mary Armstrong, Mark Bellamy, Stuart Bentley","After the world falls into chaos, the only light is a charming new leader who rises to the head of the UN, but does he bring hope for a better future? Or is it the end of the world?",English,Canada,,https://m.media-amazon.com/images/M/MV5BNzQzNDUxZjgtYjZkZS00MWI1LTkyN2UtYmFlM2UyYjNhYjhlXkEyXkFqcGdeQXVyMTkwMjkyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",,4.2,"1,822",tt16174868,movie,,"$3,649,422",,,True,,Action
2024-01-18 14:16:46,ANDANÇA - OS ENCONTROS E AS MEMÓRIAS DE BETH CARVALHO,2022,,11 Oct 2022,115 min,"Documentary, Biography, Music",Pedro Bronz,"Pedro Bronz, Leonardo Bruno",,,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BNDVlNDUxZTAtODkwMi00YjNiLTg5MzQtZWRmNzllZjJhNGQyXkEyXkFqcGdeQXVyMTEyMjQwNDU2._V1_SX300.jpg,[],,,42,tt24083008,movie,,,,,True,,Documentary
2024-01-18 14:16:49,DERRAPADA,2022,,22 Apr 2023,103 min,Drama,Pedro Amorim,"Pedro Amorim, Izabella Faya, Ana Pacheco","Matheus Costa, Nanda Costa, Augusto Madeira",,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BYjJiZDZiMTgtMGM0YS00ZmMzLWFkN2EtZDRkNGJiNmI0YmU0XkEyXkFqcGdeQXVyNTI3NDEzMzI@._V1_SX300.jpg,[],,,24,tt14022920,movie,,,,,True,,Drama
2024-01-18 14:16:50,"LYLE, LYLE, CROCODILE",2022,PG,07 Oct 2022,106 min,"Adventure, Comedy, Family","Josh Gordon, Will Speck","Bernard Waber, William Davies","Javier Bardem, Winslow Fegley, Shawn Mendes",Feature film based on the children's book about a crocodile that lives in New York City.,English,"United States, United Kingdom",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BYjNhZjA3MTctOTFjNi00Mjg5LTk3ODctOGZkNDMyMjY3YWNhXkEyXkFqcGdeQXVyMTI2ODM1ODUw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.1,"14,372",tt14668630,movie,,"$46,888,441",,,True,,Adventure
2024-01-18 14:16:51,ELVIS,2022,PG-13,24 Jun 2022,159 min,"Biography, Drama, Music",Baz Luhrmann,"Baz Luhrmann, Sam Bromell, Craig Pearce","Tom Hanks, Austin Butler, Olivia DeJonge","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",English,"United States, Australia",Nominated for 8 Oscars. 87 wins & 227 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzNTJjYmMtZTkxNS00MjI4LWI3YmQtOTQ4MDZjZDJlZjQyXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,7.3,"221,810",tt3704428,movie,09 Aug 2022,"$151,040,048",,,True,,Biography
2024-01-18 14:16:55,TINNITUS,2022,TV-14,05 Jul 2023,105 min,"Drama, Horror, Sport",Gregorio Graziosi,"Marco Dutra, Gregorio Graziosi, Andres Vera","Joana de Verona, Sabrina Greve, André Guerreiro","Marina is an ex-diver who is suffering from a terrible buzzing in her ears. After an accident suffered in the last Olympics, she decides to go back to competing in hopes of winning an Olympic medal, by putting her life to risk.","Portuguese, Japanese",Brazil,2 nominations,https://m.media-amazon.com/images/M/MV5BZDk2NWM4OTMtNmNmYS00NWYxLTg2NWEtNDFlMmIyNTcyNGIyXkEyXkFqcGdeQXVyNTYxMzU4MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,222,tt12530402,movie,,,,,True,,Drama
2024-01-18 14:16:57,TWO WITCHES,2021,Not Rated,,98 min,Horror,Pierre Tsigaridis,"Kristina Klebe, Maxime Rancon, Pierre Tsigaridis","Rebekah Kennedy, Kristina Klebe, Tim Fox","An aging, malevolent witch intercedes in the lives of two young women.",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjliMmFjZjAtZjMyNy00Y2JmLTlhZTYtNjczMjQ3MDEwNTY3XkEyXkFqcGdeQXVyNTYyNzQzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",,5.2,"3,443",tt10963926,movie,01 Oct 2022,,,,True,,Horror
2024-01-18 14:16:58,MARLOWE,2022,R,15 Feb 2023,109 min,"Crime, Mystery, Thriller",Neil Jordan,"William Monahan, Neil Jordan, John Banville","Liam Neeson, Diane Kruger, Jessica Lange","In late 1930s Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",English,"Ireland, Spain, France, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BM2EzNWEwNmYtMGE2NC00Y2NiLTk5NGEtZmRlZDE0Y2M0Yzg5XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,5.3,"9,564",tt6722802,movie,04 Apr 2023,"$4,350,243",,,True,,Crime
2024-01-18 14:17:02,A ÚLTIMA FESTA,2023,,26 Jan 2023,,Comedy,Matheus Souza,Matheus Souza,"Richard Abelha, Leo Cidade, Giulia Gayoso","This class's graduation party is full of events: dating that ends, dating that begins, new passion discovered, secret revealed. The Last Party doesn't feel like the end of a cycle, but the first night of the beginning of their lives.",Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BZmIxODU0YzUtYzJjNi00YTkxLTg3NTctMTEwZTRmYjU0ZjIxXkEyXkFqcGdeQXVyMzUyNDI2OTU@._V1_SX300.jpg,[],,,23,tt22012140,movie,,,,,True,,Comedy
2024-01-18 14:17:05,O PASTOR E O GUERRILHEIRO,2023,,13 Apr 2023,115 min,"Drama, History",José Eduardo Belmonte,"José Eduardo Belmonte, Nilson Rodrigues, Josefina Trotta","Johnny Massaro, César Mello, Julia Dalavia",The Pastor and the Revolutionary.,Portuguese,Brazil,3 nominations,https://m.media-amazon.com/images/M/MV5BZTA3MzEyZTMtMmExMC00M2RmLTk0MzktZWQ0Yzk2N2M2YTY1XkEyXkFqcGdeQXVyNjU1NDkxNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,133,tt14589900,movie,,,,,True,,Drama
2024-01-18 14:17:06,HUNT,2022,Not Rated,02 Dec 2022,131 min,"Action, Drama, Mystery",Lee Jung-jae,Jo Seung-Hee,"Lee Jung-jae, Jung Woo-sung, Go Yoon-Jung",The International Unit and The Domestic Unit of the Korean Spy Agency are tasked with the mission of uncovering a North Korean Spy known as Donglim who is deeply embedded within their agency.,"Korean, English",South Korea,9 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BYWYxYjY2OTMtZmM0Zi00OGI3LWI0YWItMDJiMDg1MzliNWNiXkEyXkFqcGdeQXVyODA0MjgyNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,6.7,"4,967",tt6931658,movie,02 Dec 2022,"$25,994",,,True,,Action
2024-01-18 14:17:07,URUBUS,2020,,06 May 2020,10 min,"Short, Comedy","Santiago Dellape, Sergio Sartorio",Tui Segall Caron,"Ricardo Pipo, Paulo Ribeiro, Rosanna Viegas",,Portuguese,Brazil,,,[],,,,tt28437418,movie,,,,,True,,Short
2024-01-18 14:17:12,OPERATION FORTUNE: RUSE DE GUERRE,2023,R,03 Mar 2023,114 min,"Action, Comedy, Thriller",Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies","Jason Statham, Aubrey Plaza, Cary Elwes",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"English, Turkish, Russian, Spanish, Japanese","United Kingdom, United States, China, Indonesia, Turkey",,https://m.media-amazon.com/images/M/MV5BNjcxOTJhZTEtMWFiYi00NTkwLTlkMzktZDQwMGQ0ZjM3YWU2XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.3,"77,791",tt7985704,movie,21 Mar 2023,"$6,496,125",,,True,,Action
2024-01-18 14:17:13,BLACK PANTHER: WAKANDA FOREVER,2022,PG-13,11 Nov 2022,161 min,"Action, Adventure, Drama",Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee","Letitia Wright, Lupita Nyong'o, Danai Gurira",The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,"English, Xhosa, Maya, Spanish, Haitian, French",United States,Won 1 Oscar. 47 wins & 165 nominations total,https://m.media-amazon.com/images/M/MV5BNTM4NjIxNmEtYWE5NS00NDczLTkyNWQtYThhNmQyZGQzMjM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,6.7,"295,624",tt9114286,movie,01 Feb 2023,"$453,829,060",,,True,,Action
2024-01-18 14:17:14,TOP GUN: MAVERICK,2022,PG-13,27 May 2022,130 min,"Action, Drama",Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to ...",English,United States,Won 1 Oscar. 98 wins & 222 nominations total,https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,8.3,"659,139",tt1745960,movie,22 Aug 2022,"$718,732,821",,,True,,Action
2024-01-18 14:17:18,MATAR A PINOCHET,2020,,20 Nov 2020,81 min,Drama,Juan Ignacio Sabatini,"Pablo Paredes, Juan Ignacio Sabatini, Enrique Videla","Rodrigo Aceituno, Héctor Aguilar, Vicente Almuna","Fifteen years into Pinochet's dictatorship in Chile, a group of men and women led by Ramiro and Tamara set out to kill the tyrant.",Spanish,Chile,2 nominations,https://m.media-amazon.com/images/M/MV5BNzRhMGUxZWUtMmNjNi00NjdkLWI5YTMtNDQxM2FiMTgwMjYxXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,122,tt13393776,movie,,,,,True,,Drama
2024-01-18 14:17:19,THE TIGER'S NEST,2022,,13 Oct 2022,94 min,"Adventure, Drama",Brando Quilici,"Brando Quilici, Hugh Hudson, Rupert Thomson","Claudia Gerini, Sunny Pawar, Amandeep Singh",A live-action fantasy adventure film set in the tropical forests of Himalayas.,English,Italy,1 nomination,https://m.media-amazon.com/images/M/MV5BZWE1OWI1ZGUtZGU0Mi00MDU5LTg3MzgtYTYzZGQwMjI1YzVlXkEyXkFqcGdeQXVyODI5OTc0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,5.7,374,tt7527028,movie,,,,,True,,Adventure
2024-01-18 14:17:21,THE BLACK DEMON,2023,R,28 Apr 2023,100 min,"Drama, Horror, Sci-Fi",Adrian Grunberg,"Carlos Cisco, Boise Esquerra","Omar Chaparro, Bolivar Sanchez, Carlos Solórzano","Stranded on a crumbling rig in Baja, a family faces off against a vengeful megalodon shark.","English, Spanish","United States, Dominican Republic, Mexico, Slovenia",,https://m.media-amazon.com/images/M/MV5BODBhZTFiOGItNjk4ZS00Y2VkLWJkNGQtNTk5NzZlNThlM2I4XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",,3.7,"7,986",tt10279472,movie,,,,,True,,Drama
2024-01-18 14:17:25,LES PROMESSES,1995,,,1 min,Short,Christian Philibert,Christian Philibert,"Pascal Forner, Jean-Marc Ravera",A brief coffee counter of Espignoule. A movie who hold his promises because he don't promise anything.,French,France,,,[],,,,tt0313500,movie,,,,,True,,Short
2024-01-18 14:17:49,SWORD ART ONLINE THE MOVIE: PROGRESSIVE - SCHERZO OF DEEP NIGHT,2022,,03 Feb 2023,101 min,"Animation, Action, Adventure",Ayako Kouno,Reki Kawahara,"Haruka Tomatsu, Yoshitsugu Matsuoka, Shiori Izawa","Two months have passed since the deadly game began, and Kirito and Asuna continue to make progress. They stop for treasure, but then they must face Asuna's least favorite monster.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BNzExZjlkODEtNTNiNC00OGE4LWI0YTEtNzVjODU5NzFjN2FjXkEyXkFqcGdeQXVyMTEwMjgyMzIz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,787,tt15830702,movie,,,,,True,,Animation
2024-01-18 14:17:50,THE STORY OF MY WIFE,2021,,23 Sep 2021,169 min,"Drama, Romance",Ildikó Enyedi,"Ildikó Enyedi, Milán Füst","Léa Seydoux, Gijs Naber, Louis Garrel","Jacob Störr, a sea captain, makes a bet in a café with a friend, to marry the first woman who enters the place. And in walks Lizzy.","English, French, Dutch, German, Italian","Hungary, Germany, France, Italy",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNzlhNDJkODQtNTRmMC00ZTkwLWJkOTgtOGQ3NWIyNWIzNzQ1XkEyXkFqcGdeQXVyMzEyMTQyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,6.2,"2,589",tt8205028,movie,,,,,True,,Drama
2024-01-18 14:17:54,A TERRA NEGRA DOS KAWA,2018,,01 Nov 2018,99 min,,Sergio Andrade,Sergio Andrade,"Kay Sara, Anderson Kary Báya, Severiano Kedassere",,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BMmY2MDg5N2QtZjlmYi00YTE1LTliZTktYjEyMTJhNjRkMWI1XkEyXkFqcGdeQXVyODQ4ODM0MDI@._V1_SX300.jpg,[],,,5,tt11183738,movie,,,,,True,,
2024-01-18 14:17:57,THE TWILIGHT SAGA: BREAKING DAWN - PART 2,2012,PG-13,16 Nov 2012,115 min,"Adventure, Drama, Fantasy",Bill Condon,"Stephenie Meyer, Melissa Rosenberg","Kristen Stewart, Robert Pattinson, Taylor Lautner","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,United States,Nominated for 1 BAFTA Award21 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,5.5,"260,224",tt1673434,movie,03 Mar 2015,"$292,324,737",,,True,,Adventure
